T1,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422,3017.73805960422
T2,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163,1017.17675497163
T3,6223.86493218792,6348.69832390041,6474.81661386818,6602.22071863032,6730.91154676416,6860.88999902793,6992.1569684995,7124.71334071144,7258.5599937825,7393.69779854567,7530.12761867281,7667.85031079624,7806.86672462704,7947.17770307046,8088.78408233842,8231.68669205918,8375.88635538432,8521.38388909309
T4,7262.62867290217,7717.28260484286,8189.06945372316,8678.2273578957,9184.99235401146,9709.59844124889,10252.2776422438,10813.2600609552,11392.7739376808,11991.0457014175,12608.3000197452,13244.7598463963,13900.6464666604,14576.1795407613,15271.5771453328,15987.0558131086,16722.8305709335,17479.1149761959
T5,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785,8058.52335285785
T6,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798,2189.89253630798
T7,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005,3124.76349517005
T8,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309,2888.82167899309
T9,3238.28083598362,2907.69100889569,3403.38028698619,2720.04283130537,1750.02133202657,2408.03584006153,3764.94365429288,3663.45500374683,2788.27336536734,3211.19564465149,4300.29432782259,4021.77218007662,2925.27954224195,2907.69100889569,3403.38028698619,2720.04283130538,1750.02133202657,2408.03584006152
T10,4067.06504908849,5349.60762663605,4478.80486609895,2878.26469422179,2296.49015106301,3659.02331446904,4785.66008622436,4576.12884725625,5284.30290081086,4051.97268376484,5455.43611265297,5852.76199959066,4067.06504908849,5349.60762663605,4478.80486609895,2878.26469422179,2296.49015106301,3659.02331446904
T11,2682.37494222549,3291.78483998738,2884.11474656148,2357.82875087152,1512.87188893527,2644.8632116234,3029.73450680918,3396.06889718795,3791.29296172029,2761.70207635837,4083.8697575524,3484.79512477168,2682.37494222549,3291.78483998738,2884.11474656149,2357.82875087152,1512.87188893527,2644.8632116234
