T1,40216.1371583839,42298.6221460109,44488.9430429846,46792.6838431423
T2,1529812.84173727,1565796.06613876,1599640.47083664,1631473.18589778
T3,710267.359997877,723699.310237996,736639.409859332,749093.523676019
T4,182576.401010004,188227.291892358,193681.99322329,198937.567181215
T5,77495.2730454236,78916.7763610321,80304.2520064226,81657.5312957652
T6,300198.45470074,309592.686521287,318818.970661776,327867.602233681
T7,289817.088703798,291291.526405852,292652.194303808,293907.87104481
T8,800128.07155243,800128.07155243,800128.07155243,800128.07155243
T9,349844.682918141,382608.126388289,417804.733344768,455569.659750492
T10,243851.965141683,255991.745108388,268662.327073218,281883.740428924
T11,266049.6593978,273860.94303274,281465.061401474,288856.387286849
T12,173611.21307561,177234.401589731,180372.798832569,183085.519163573
T13,1939902.86941622,2102359.49311067,2275709.27408147,2460506.27363263
T14,90607.6324576005,92821.4174803714,94973.5438668017,97063.2613864695
T15,216258.025813085,219478.288491556,222554.067002809,225489.403584838
T16,129240.473011294,131895.805944946,134448.283907699,136900.045704013
T17,276607.48527089,290678.790081938,305417.709266445,320853.645453022
T18,8963482.2906798,10024650.5922867,10412084.3571758,11043802.1890759
T19,90068.3482088911,88725.862022701,87651.8730651103,86792.6818921267
T20,156201.677237319,156201.677237319,156201.677237319,156201.677237319
T21,132769.897971978,141243.651385391,149717.404798803,158191.158212215
T22,21017.5222661335,23056.7730993435,25293.7484171081,27747.6062453535
T23,2681.01350324067,2788.59789606834,2899.5530734921,3013.95549096377
T24,2033.53351385209,2123.61427239646,2215.11448144823,2308.01814042816
T25,8678.74885227813,9075.37339095759,9487.57195941662,9915.85710786691
T26,7720.89307639116,8144.39221291204,8567.89134943292,8991.3904859538
T27,7612.32455657118,8047.49838816486,8497.71900395133,8963.18089209801
T28,3811.99010710982,3987.05473853365,4169.71663634793,4360.28638633085
T29,19617.8571700514,20713.641279645,21862.5453239246,23066.7577781163
T30,3118.97398822798,3205.98185108949,3294.88309003359,3385.70742775497
T31,3131.62251614963,3419.66049580186,3725.34229232538,4049.23602928648
T32,19543.3388427323,19970.7762069727,20398.213571213,20825.6509354534
T33,9136.38592794912,9578.14436471178,10041.2673149518,10526.7781708802
T34,9598.66473951664,10152.1744258205,10724.1338809429,11314.7292095747
T35,3258.5725693696,3331.09058161083,3400.93976788441,3468.19219215481
T36,1091.89524045981,984.624322104786,903.944699207209,842.26068329723
T37,6092.95269323761,6053.70474185818,6018.31919730065,5986.40851494982
T38,779.502670959237,818.470469799062,857.836618516908,897.59049635421
T39,991.754911798087,991.754911798087,991.754911798087,991.754911798087
T40,1247.17690507695,1271.64757507908,1296.59838259847,1322.03874612926
T41,2005.38797140864,2123.11820470838,2246.98462676835,2377.2671433317
T42,2209.95483473297,2452.83895554473,2714.02011880334,2994.28194156516
T43,8029.48086092502,8560.90038123561,9111.75903293223,9682.22329318984
T44,53591.9646053819,59469.7237428525,65992.1324914242,73229.8934693812
T45,32479.1917991287,34160.7594017657,35861.1697189506,37577.4314977912
