T1,6268.44016438073,4053.74386834885,2703.90460780393,1841.95219507725,2075.05773146967,1810.05244755067,1634.51091329143,2057.36256293024,2501.13188125544,2948.66696051214,3580.5333422433,6134.62248404434,6268.44016438073,4053.74386834885,2703.90460780393,1841.95219507725,2075.05773146967,1810.05244755067,1634.51091329143,2057.36256293023,2501.13188125544,2948.66696051214,3580.5333422433,6134.62248404434
T2,195843.824637926,161633.133681517,145323.293353624,103251.004724313,91449.0150245129,101817.962907049,87864.3349754024,94313.2860486851,108962.791434299,122175.902215198,139918.867902843,184814.092519029,207122.990845338,170539.675231303,152899.445621686,108504.16201026,95860.0187535123,106336.489670511,91574.2062837439,97995.4180466511,112859.076815872,126193.363818667,144138.553670669,189832.236375443
T3,82415.4320641482,72038.1465107341,88499.9960960549,85394.779917118,80271.2283855581,80184.979132801,81435.4531072778,73134.2674366664,73069.3210041275,98936.8576791881,85551.2221477675,75968.2809388424,72361.8179222764,63995.2551961194,82065.6830434693,80247.3294743344,76153.2680307592,76890.6108485042,78799.9584794743,71025.8717341307,71382.6044418646,97587.4844291903,84471.7235476193,75104.6820586039
T4,25675.5641609086,23462.4301892424,26796.1554685139,23818.9702147706,21866.2098613843,19994.1688837218,22075.3657090596,20434.5787918144,18390.2237778992,25834.6629647533,25457.314962985,24880.2257358398,22371.1272529675,20818.8770289642,24681.3100331472,22127.0915407586,20512.7050615972,18911.3635554282,21209.1202556519,19741.5814764687,17835.8251635259,25391.1434635765,25102.4988743003,24596.3724746969
T5,41662.9346486681,31434.1149847562,36151.360392322,33891.478242404,31562.4252723632,32044.7855702404,30733.9090798714,28939.5934762417,34079.9447352418,34506.7589680136,29344.7739209583,32205.9797220662,32831.1890798382,24521.0941870143,30628.1416718961,29646.7811287318,28130.0732366942,29442.4720910364,28594.1797089193,27351.3574133349,32739.0935727795,33544.5630971964,28497.7861168179,31630.1322359997
T6,32446.1234430608,34056.7634087868,41843.742765634,36339.9179514838,29393.5607406356,26631.9477806517,28301.314950541,29408.0842689274,29401.7764149272,40436.2002611192,38183.8318098338,30586.4082862763,28640.6779674041,31002.3216068049,39392.0942578901,34372.1016383287,27814.0924644581,25364.187157481,27283.7465562254,28591.3327322531,28746.2105813317,39910.010174073,37761.4851994452,30247.4116694679
T7,12094.1943780838,13188.1344122727,17013.6741186317,15975.6262692341,12125.8464203342,10210.0369142839,10688.0271058475,10903.9171555818,12405.0109960754,19105.2447269859,16319.9332492718,11479.3813888753,11112.7083164477,12326.5838306858,16123.8226134854,15302.725275753,11712.9432293195,9929.86175939115,10453.0052376147,10711.7747577993,12230.3539413273,18891.8945000898,16173.4427626939,11396.2005398123
T8,103142.594699645,101004.39821513,113077.000195534,88127.3134621736,89774.9590350542,97118.9337738642,93338.8975646798,105908.475039595,104971.20592233,91206.8127011383,95089.8324931673,111251.792061288,94332.0972304035,93734.6100163034,106442.405361894,83531.6484756358,85876.1858399151,93659.3674705522,90533.520711931,103330.13390962,102832.636285276,89601.3585935705,93706.9466112283,109952.568728673
T9,60532.8404029955,45655.239638938,47083.9536998899,44314.530818364,41192.5000470069,41853.3847358118,49404.6107569292,58924.941114528,42155.4680957528,48666.862141347,50354.5067606425,49929.1269157069,59850.2729168669,45887.8196556203,47131.1015414311,44314.530818364,41192.5000470069,41853.3847358118,49404.6107569292,58924.941114528,42155.4680957528,48666.862141347,50354.5067606425,49929.1269157069
T10,21947.9868823122,20487.9267162221,28618.9075426397,34404.5623421938,36791.8173008034,25642.3470025305,24234.15937323,28219.6702919367,27107.0563603535,28018.377525843,27959.3073940303,30184.530135335,21238.1268189926,19619.1008744556,28791.1693394839,34404.5623421938,36791.8173008034,25642.3470025305,24234.1593732299,28219.6702919367,27107.0563603535,28018.377525843,27959.3073940302,30184.5301353351
T11,33697.9361935882,31124.891766758,41396.5796399016,37020.2250119765,40789.4664148237,52535.5841430575,34048.3377692615,35604.8605499169,40826.134840259,39642.3502029132,47851.2872322582,58953.961753658,30140.8731872836,29993.6019659503,41552.8693614234,36878.4214580235,40940.971850915,52354.4527155685,34177.9091788783,35472.5406347003,40971.8193716832,39501.6592508215,48012.2965348019,58767.7763250536
T12,29002.366812319,22887.7307927177,29790.6355960013,35315.9177972491,31342.5112454301,21263.3687792572,26399.8342961442,22305.5863453878,24135.5862003927,29912.0573693736,24846.8825147738,31651.1996696096,25074.842889643,19745.705746905,27277.0108332047,33305.0142060877,29733.7853477559,19976.3856413172,25370.2458499481,21481.9140397527,23476.6471169397,29384.9051114534,24425.1599155099,31313.8209558552
T13,175616.599014927,169315.265402254,170107.077762458,180031.429088228,173189.50144671,159299.071931204,196397.488680161,197346.154898895,178581.828816646,181540.594848449,169670.760143107,175169.559148967,170267.768217087,164920.998849945,170200.461461977,180031.429088228,173189.50144671,159299.071931204,196397.488680161,197346.154898895,178581.828816646,181540.594848449,169670.760143108,175169.559148967
T14,1107799.53942489,1000343.68558197,1167007.94736609,1156026.3807961,1216773.4729292,1142626.74486666,1258718.86475012,1404530.93882264,1258646.03179156,1381074.1226465,1392362.40311211,1569484.47070985,1469262.18076447,1304691.09861962,1514764.0616956,1497841.25345793,1575510.82977001,1479142.3712505,1629277.38395951,1817954.58159264,1629108.29225955,1787562.85404015,1802170.51714019,2031422.81055193
